movieId,title,uri
77,Nico Icon (1995),
83,Once Upon a Time... When We Were Colored (1995),http://dbpedia.org/resource/Once_Upon_a_Time...When_We_Were_Colored
85,Angels and Insects (1995),http://dbpedia.org/resource/Angels_&_Insects
106,Nobody Loves Me (Keiner liebt mich) (1994),
116,Anne Frank Remembered (1995),http://dbpedia.org/resource/Anne_Frank_Remembered
119,"Steal Big, Steal Little (1995)",http://dbpedia.org/resource/Steal_Big_Steal_Little
121,"Boys of St. Vincent, The (1992)",http://dbpedia.org/resource/The_Boys_of_St._Vincent
128,Jupiter's Wife (1994),
242,Farinelli: il castrato (1994),http://dbpedia.org/resource/Farinelli_(film)
260,Star Wars: Episode IV - A New Hope (1977),http://dbpedia.org/resource/Star_Wars_(film)
284,New York Cop (Nyû Yôku no koppu) (1993),
285,Beyond Bedlam (1993),
305,Ready to Wear (Pret-A-Porter) (1994),http://dbpedia.org/resource/Prêt-à-Porter_(film)
308,Three Colors: White (Trzy kolory: Bialy) (1994),http://dbpedia.org/resource/Three_Colours:_White
328,Tales from the Crypt Presents: Demon Knight (1995),http://dbpedia.org/resource/Demon_Knight
363,"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993)",http://dbpedia.org/resource/The_Wonderful_Horrible_Life_of_Leni_Riefenstahl
370,Naked Gun 33 1/3: The Final Insult (1994),http://dbpedia.org/resource/Naked_Gun_33⅓:_The_Final_Insult
390,Faster Pussycat! Kill! Kill! (1965),"http://dbpedia.org/resource/Faster,_Pussycat!_Kill!_Kill!"
437,Cops and Robbersons (1994),http://dbpedia.org/resource/Cops_&_Robbersons
496,What Happened Was... (1994),http://dbpedia.org/resource/What_Happened_Was
549,Thirty-Two Short Films About Glenn Gould (1993),http://dbpedia.org/resource/Thirty_Two_Short_Films_About_Glenn_Gould
722,"Haunted World of Edward D. Wood Jr., The (1996)",
728,Cold Comfort Farm (1995),
791,"Last Klezmer: Leopold Kozlowski, His Life and Music, The (1994)",
842,Tales from the Crypt Presents: Bordello of Blood (1996),http://dbpedia.org/resource/Bordello_of_Blood
888,Land Before Time III: The Time of the Great Giving (1995),http://dbpedia.org/resource/The_Land_Before_Time_III:_The_Time_of_the_Great_Giving
1059,William Shakespeare's Romeo + Juliet (1996),http://dbpedia.org/resource/Romeo_+_Juliet
1151,Lesson Faust (1994),http://dbpedia.org/resource/Faust_(1994_film)
1173,"Cook the Thief His Wife & Her Lover, The (1989)",
1194,Cheech and Chong's Up in Smoke (1978),
1196,Star Wars: Episode V - The Empire Strikes Back (1980),http://dbpedia.org/resource/The_Empire_Strikes_Back
1202,Withnail & I (1987),
1221,"Godfather: Part II, The (1974)",http://dbpedia.org/resource/The_Godfather_Part_III
1243,Rosencrantz and Guildenstern Are Dead (1990),http://dbpedia.org/resource/Rosencrantz_%26_Guildenstern_Are_Dead_(film)
1312,Female Perversions (1996),
1322,Amityville 1992: It's About Time (1992),http://dbpedia.org/resource/Amityville:_It's_About_Time
1324,Amityville: Dollhouse (1996),http://dbpedia.org/resource/Amityville_Dollhouse
1739,3 Ninjas: High Noon On Mega Mountain (1998),http://dbpedia.org/resource/3_Ninjas:_High_Noon_at_Mega_Mountain
1771,Night Flier (1997),http://dbpedia.org/resource/The_Night_Flier_(film)
1793,Welcome to Woop-Woop (1997),http://dbpedia.org/resource/Welcome_to_Woop_Woop
1976,Friday the 13th Part 3: 3D (1982),http://dbpedia.org/resource/Friday_the_13th_Part_III
1977,Friday the 13th Part IV: The Final Chapter (1984),http://dbpedia.org/resource/Friday_the_13th:_The_Final_Chapter
1978,Friday the 13th Part V: A New Beginning (1985),http://dbpedia.org/resource/Friday_the_13th:_A_New_Beginning
2023,"Godfather: Part III, The (1990)",http://dbpedia.org/resource/The_Godfather_Part_III
2027,Jane Austen's Mafia! (1998),http://dbpedia.org/resource/Mafia!
2071,And the Band Played On (1993),http://dbpedia.org/resource/And_the_Band_Played_On_(film)
2155,"Slums of Beverly Hills, The (1998)",http://dbpedia.org/resource/Slums_of_Beverly_Hills
2163,Attack of the Killer Tomatoes! (1978),http://dbpedia.org/resource/Attack_of_the_Killer_Tomatoes
2165,Your Friends and Neighbors (1998),http://dbpedia.org/resource/Your_Friends_&_Neighbors
2294,Antz (1998),http://dbpedia.org/resource/Antz
2301,History of the World: Part I (1981),"http://dbpedia.org/resource/History_of_the_World,_Part_I"
2304,Love Is the Devil (1998),http://dbpedia.org/resource/Love_Is_the_Devil:_Study_for_a_Portrait_of_Francis_Bacon
2382,Police Academy 5: Assignment: Miami Beach (1988),http://dbpedia.org/resource/Police_Academy_5:_Assignment_Miami_Beach
2493,"Harmonists, The (1997)",http://dbpedia.org/resource/Comedian_Harmonists_(film)
2542,"Lock, Stock & Two Smoking Barrels (1998)","http://dbpedia.org/resource/Lock,_Stock_and_Two_Smoking_Barrels"
2567,EDtv (1999),http://dbpedia.org/resource/EDtv
2622,William Shakespeare's A Midsummer Night's Dream (1999),http://dbpedia.org/resource/A_Midsummer_Night%27s_Dream_(1999_film)
2628,Star Wars: Episode I - The Phantom Menace (1999),http://dbpedia.org/resource/Star_Wars:_Episode_I_–_The_Phantom_Menace
2670,Run Silent Run Deep (1958),"http://dbpedia.org/resource/Run_Silent,_Run_Deep_(film)"
2700,"South Park: Bigger, Longer and Uncut (1999)","http://dbpedia.org/resource/South_Park:_Bigger,_Longer_%26_Uncut"
2788,Monty Python's And Now for Something Completely Different (1971),http://dbpedia.org/resource/And_Now_for_Something_Completely_Different
2794,European Vacation (aka National Lampoon's European Vacation) (1985),http://dbpedia.org/resource/National_Lampoon's_European_Vacation
2818,Iron Eagle IV (1995),http://dbpedia.org/resource/Iron_Eagle_on_the_Attack
2837,Bedrooms & Hallways (1998),http://dbpedia.org/resource/Bedrooms_and_Hallways
3064,Poison Ivy: New Seduction (1997),http://dbpedia.org/resource/Poison_Ivy:_The_New_Seduction
3077,42 Up (1998),http://dbpedia.org/resource/Up_(film_series)
3112,'night Mother (1986),"http://dbpedia.org/resource/'night,_Mother_(film)"
3130,Bonfire of the Vanities (1990),http://dbpedia.org/resource/The_Bonfire_of_the_Vanities_(film)
3142,U2: Rattle and Hum (1988),http://dbpedia.org/resource/Rattle_and_Hum__U2:_Rattle_and_Hum__1
3182,"Mr. Death: The Rise and Fall of Fred A. Leuchter, Jr. (1999)","http://dbpedia.org/resource/Mr._Death:_The_Rise_and_Fall_of_Fred_A._Leuchter,_Jr."
3296,To Sir with Love (1967),
3303,Black Tar Heroin: The Dark End of the Street (2000),http://dbpedia.org/resource/Black_Tar_Heroin_(film)
3353,"Closer You Get, The (2000)",
3401,Baby... Secret of the Lost Legend (1985),
3429,Creature Comforts (1989),http://dbpedia.org/resource/Creature_Comforts
3434,Death Wish 5: The Face of Death (1994),http://dbpedia.org/resource/Death_Wish_V:_The_Face_of_Death
3571,Time Code (2000),http://dbpedia.org/resource/Timecode_(2000_film)
3626,8 ½ Women (a.k.a. 8 1/2 Women) (a.k.a. Eight and a Half Women) (1999),http://dbpedia.org/resource/8½_Women
3707,9 1/2 Weeks (Nine 1/2 Weeks) (1986),http://dbpedia.org/resource/9½_Weeks
3812,Everything You Always Wanted to Know About Sex * But Were Afraid to Ask (1972),http://dbpedia.org/resource/Everything_You_Always_Wanted_to_Know_About_Sex*_(*But_Were_Afraid_to_Ask)_(film)
3869,"Naked Gun 2 1/2: The Smell of Fear, The (1991)",http://dbpedia.org/resource/The_Naked_Gun_2½:_The_Smell_of_Fear
3930,"Creature from the Black Lagoon, The (1954)",
3962,Ghoulies II (1987),http://dbpedia.org/resource/Ghoulies_(film_series)
3972,"Legend of Drunken Master, The (Jui kuen II) (1994)",http://dbpedia.org/resource/Drunken_Master_II
4236,Keep the River on Your Right: A Modern Cannibal Tale (2000),
4317,Love Potion #9 (1992),http://dbpedia.org/resource/Love_Potion_No._9_(film)
4473,Bat*21 (1988),http://dbpedia.org/resource/Bat*21
4504,Feds (1988),http://dbpedia.org/resource/The_Feds_(miniseries)
4523,Milagro Beanfield War (1988),http://dbpedia.org/resource/The_Milagro_Beanfield_War
4850,Spriggan (Supurigan) (1998),
4886,"Monsters, Inc. (2001)","http://dbpedia.org/resource/Monsters,_Inc."
4961,Pornstar: The Legend of Ron Jeremy (2001),http://dbpedia.org/resource/Porn_Star:_The_Legend_of_Ron_Jeremy
5007,Topkapi (1964),http://dbpedia.org/resource/Topkapi_(film)
5095,"Scotland, Pa. (2001)",
5209,Ffolkes (1979),http://dbpedia.org/resource/North_Sea_Hijack
5214,"Oh, God! (1977)",
5248,Smokey and the Bandit III (1983),http://dbpedia.org/resource/Smokey_and_the_Bandit_Part_3
5325,Dogtown and Z-Boyz (2001),http://dbpedia.org/resource/Dogtown_and_Z-Boys
5378,Star Wars: Episode II - Attack of the Clones (2002),http://dbpedia.org/resource/Star_Wars:_Episode_II_–_Attack_of_the_Clones
5442,V. I. Warshawski (1991),http://dbpedia.org/resource/V.I._Warshawski_(film)
5448,Hey Arnold! The Movie (2002),http://dbpedia.org/resource/Hey_Arnold!:_The_Movie
5562,Snipes (2001),"http://dbpedia.org/resource/Snipes_(film)"
5672,Pokemon 4 Ever (a.k.a. Pokémon 4: The Movie) (2002),http://dbpedia.org/resource/Pokémon_4Ever
5678,Formula 51 (2001),http://dbpedia.org/resource/The_51st_State
5736,Faces of Death 3 (1985),
5772,My Dinner with André (1981),http://dbpedia.org/resource/My_Dinner_with_Andre
5818,"Crime of Father Amaro, The (Crimen del padre Amaro, El) (2002)",http://dbpedia.org/resource/The_Crime_of_Padre_Amaro_(2002_film)
6025,CB4 - The Movie (1993),http://dbpedia.org/resource/CB4
6042,Blind Spot: Hitler's Secretary (Im toten Winkel - Hitlers Sekretärin) (2002),http://dbpedia.org/resource/Im_toten_Winkel
6122,Richard Pryor Live on the Sunset Strip (1982),
6125,"Secret Policeman's Other Ball, The (1982)",
6195,Stone Reader (2002),
6223,Spun (2001),http://dbpedia.org/resource/Spun
6333,X2: X-Men United (2003),http://dbpedia.org/resource/X2_(film)
6433,"Man with the Movie Camera, The (Chelovek s kino-apparatom) (1929)",http://dbpedia.org/resource/Man_with_a_Movie_Camera
6493,Alex and Emma (2003),http://dbpedia.org/resource/Alex_&_Emma
6533,"What's Up, Doc? (1972)",
6563,Masked & Anonymous (2003),
6577,Kickboxer 2: The Road Back (1991),http://dbpedia.org/resource/Kickboxer_2
6588,And Now... Ladies and Gentlemen... (2002),http://dbpedia.org/resource/And_Now..._Ladies_and_Gentlemen
6628,Hot Dog... The Movie (1984),http://dbpedia.org/resource/Hot_Dog…The_Movie
6692,Stoked: The Rise and Fall of Gator (2002),
6776,Lagaan: Once Upon a Time in India (2001),http://dbpedia.org/resource/Lagaan
6817,"White Hunter, Black Heart (1990)",http://dbpedia.org/resource/White_Hunter_Black_Heart
6835,Alien Contamination (1980),http://dbpedia.org/resource/Contamination_(film)
6851,"Gas, Food, Lodging (1992)",http://dbpedia.org/resource/Gas_Food_Lodging
6874,Kill Bill: Vol. 1 (2003),http://dbpedia.org/resource/Kill_Bill:_Volume_1
6938,Billabong Odyssey (2003),
6945,My Architect: A Son's Journey (2003),http://dbpedia.org/resource/My_Architect
6962,OT: Our Town (2002),http://dbpedia.org/resource/OT:_Our_Town
7084,"Play It Again, Sam (1972)","http://dbpedia.org/resource/Play_It_Again,_Sam_(film)"
7156,"Fog of War: Eleven Lessons from the Life of Robert S. McNamara, The (2003)",http://dbpedia.org/resource/The_Fog_of_War
7264,An Amazing Couple (2002),http://dbpedia.org/resource/Un_couple_épatant
7396,Scenes From a Marriage (Scener ur ett äktenskap) (1973),
7438,Kill Bill: Vol. 2 (2004),http://dbpedia.org/resource/Kill_Bill:_Volume_2
7443,This So-Called Disaster (2003),
7566,28 Up (1985),http://dbpedia.org/resource/Up_(film_series)
7646,Rose Red (2002),
7753,Tuesdays with Morrie (1999),
7762,"Tinker, Tailor, Soldier, Spy (1979)",http://dbpedia.org/resource/Tinker_Tailor_Soldier_Spy_(miniseries)
7773,"Bang, Bang, You're Dead (2002)",http://dbpedia.org/resource/Bang_Bang_You're_Dead_(film)
7789,"11'09""01 - September 11 (2002)",
7811,Babylon 5: The River of Souls (1998),http://dbpedia.org/resource/Babylon_5:_The_River_of_Souls
7812,Babylon 5: Thirdspace (1998),http://dbpedia.org/resource/Babylon_5:_Thirdspace
7841,Children of Dune (2003),
7845,Tremors II: Aftershocks (1996),http://dbpedia.org/resource/Tremors_3:_Back_to_Perfection
7879,Notorious C.H.O. (2002),
8131,Pursuit of Happiness (2001),
8142,Dead or Alive: Hanzaisha (1999),http://dbpedia.org/resource/Dead_or_Alive_(film)
8157,Jin Roh: The Wolf Brigade (Jin-Rô) (1998),http://dbpedia.org/resource/Illang:_The_Wolf_Brigade
8169,*batteries not included (1987),
8370,"Blind Swordsman: Zatoichi, The (Zatôichi) (2003)",http://dbpedia.org/resource/Zatōichi_(2003_film)
8484,"Human Condition I, The (Ningen no joken I) (1959)",
8581,Pirates of Silicon Valley (1999),
8582,Manufacturing Consent: Noam Chomsky and the Media (1992),http://dbpedia.org/resource/Manufacturing_Consent_(film)
8685,"Miracle of Marcelino, The (Marcelino pan y vino) (1955)",http://dbpedia.org/resource/Miracle_of_Marcelino
8771,Sherlock Holmes: Terror by Night (1946),http://dbpedia.org/resource/Terror_by_Night
8774,Sherlock Holmes: The Woman in Green (1945),http://dbpedia.org/resource/The_Woman_in_Green
8778,Sherlock Holmes: Dressed to Kill (1946),http://dbpedia.org/resource/Dressed_to_Kill_(1946_film)
8807,Harold and Kumar Go to White Castle (2004),http://dbpedia.org/resource/Harold_&_Kumar_Go_to_White_Castle
8827,"Bill Cosby, Himself (1983)",http://dbpedia.org/resource/Bill_Cosby:_Himself
8894,Orca: The Killer Whale (1977),http://dbpedia.org/resource/Orca_(film)
8934,Bebe's Kids (1992),
8954,Lightning in a Bottle (2004),
8987,Bush's Brain (2004),
25769,"Steamboat Bill, Jr. (1928)",
25805,"Atalante, L' (1934)",
26002,Confidential Report (1955),http://dbpedia.org/resource/Mr._Arkadin
26048,"Human Condition II, The (Ningen no joken II) (1959)",
26073,"Human Condition III, The (Ningen no joken III) (1961)",
26095,"Carabineers, The (Carabiniers, Les) (1963)",http://dbpedia.org/resource/The_Carabineers
26133,"Charlie Brown Christmas, A (1965)",http://dbpedia.org/resource/A_Charlie_Brown_Christmas
26236,"White Sun of the Desert, The (Beloe solntse pustyni) (1970)",http://dbpedia.org/resource/White_Sun_of_the_Desert
26347,"Irony of Fate, or Enjoy Your Bath! (Ironiya sudby, ili S legkim parom!) (1975)",
26444,"Hitch Hikers Guide to the Galaxy, The (1981)",http://dbpedia.org/resource/The_Hitchhiker's_Guide_to_the_Galaxy_(TV_series)
26453,Smiley's People (1982),http://dbpedia.org/resource/Smiley's_People_(miniseries)
26471,Eddie Murphy Delirious (1983),http://dbpedia.org/resource/Eddie_Murphy_Raw
26510,"Ewok Adventure, The (a.k.a. Caravan of Courage: An Ewok Adventure) (1984)",
26542,Ewoks: The Battle for Endor (1985),
26564,'Round Midnight (1986),http://dbpedia.org/resource/Round_Midnight_(film)
26712,35 Up (1991),http://dbpedia.org/resource/Up_(film_series)
26729,Hearts of Darkness: A Filmmakers Apocalypse (1991),http://dbpedia.org/resource/Hearts_of_Darkness:_A_Filmmaker's_Apocalypse
26741,Mannequin 2: On the Move (1991),http://dbpedia.org/resource/Mannequin_Two:_On_the_Move
26761,Prime Suspect 2 (1992),http://dbpedia.org/resource/List_of_Prime_Suspect_(British_TV_series)_episodes
26797,Visions of Light: The Art of Cinematography (1992),http://dbpedia.org/resource/Visions_of_Light
26812,Barbarians at the Gate (1993),
26838,"Snapper, The (1993)",http://dbpedia.org/resource/The_Snapper_(film)
26854,"Darkman II: Return of Durant, The (1995)",http://dbpedia.org/resource/Darkman_II:_The_Return_of_Durant
26887,"Langoliers, The (1995)",http://dbpedia.org/resource/The_Langoliers_(miniseries)
26940,"Late Shift, The (1996)",
27006,RKO 281 (1999),http://dbpedia.org/resource/RKO_281
27074,Brave New World (1998),http://dbpedia.org/resource/Brave_New_World_(1998_film)
27155,"Batman/Superman Movie, The (1998)",
27246,If These Walls Could Talk 2 (2000),
27251,"10th Kingdom, The (2000)",http://dbpedia.org/resource/The_10th_Kingdom
27369,Daria: Is It Fall Yet? (2000),
27473,American Psycho II: All American Girl (2002),http://dbpedia.org/resource/American_Psycho_2
27480,Dead or Alive 2: Tôbôsha (2000),http://dbpedia.org/resource/Dead_or_Alive_2:_Birds
27692,And Starring Pancho Villa as Himself (2003),
27746,Ginger Snaps: Unleashed (2004),http://dbpedia.org/resource/Ginger_Snaps_2:_Unleashed
27751,'Salem's Lot (2004),http://dbpedia.org/resource/Salem's_Lot_(2004_miniseries)
27793,Starship Troopers 2: Hero of the Federation (2004),http://dbpedia.org/resource/Starship_Troopers_3:_Marauder
27802,Infernal Affairs 2 (Mou gaan dou II) (2003),http://dbpedia.org/resource/Infernal_Affairs
27830,"Bobby Jones, Stroke of Genius (2004)",
27879,DiG! (2004),
27912,Outfoxed: Rupert Murdoch's War on Journalism (2004),http://dbpedia.org/resource/Outfoxed
30745,Gozu (Gokudô kyôfu dai-gekijô: Gozu) (2003),http://dbpedia.org/resource/Gozu
31162,"Life and Death of Peter Sellers, The (2004)",http://dbpedia.org/resource/The_Life_and_Death_of_Peter_Sellers
32009,Tyler Perry's Diary of a Mad Black Woman (2005),
32743,Ringu 0: Bâsudei (2000),http://dbpedia.org/resource/Ring_0:_Birthday
33493,Star Wars: Episode III - Revenge of the Sith (2005),http://dbpedia.org/resource/Star_Wars:_Episode_III_–_Revenge_of_the_Sith
33681,"Adventures of Sharkboy and Lavagirl 3-D, The (2005)",http://dbpedia.org/resource/The_Adventures_of_Sharkboy_and_Lavagirl_in_3-D
33779,Eddie Izzard: Dress to Kill (1999),http://dbpedia.org/resource/Dress_to_Kill
33966,Cop and ½ (1993),
34450,Miracles - Mr. Canton and Lady Rose (1989),http://dbpedia.org/resource/Miracles_(1989_film)
